127.0.0.1 - - [14/Jun/2023:13:10:46 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:10:50 +0300] "GET /crm/ HTTP/1.1" 404 104
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/products HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:23:46 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:25:39 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:25:39 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:25:39 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:15 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:15 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:15 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:27 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:27 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:26:27 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:21 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:21 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:21 +0300] "GET /crm/opps HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:31 +0300] "GET /crm/customers HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:58 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:58 +0300] "GET /crm/customers HTTP/1.1" 404 78
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:27:58 +0300] "GET /crm/products HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:28:12 +0300] "GET /crm/opps HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:28:12 +0300] "GET /crm/customers HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [14/Jun/2023:13:28:13 +0300] "GET /crm/products HTTP/1.1" 200 309
