127.0.0.1 - - [27/Aug/2023:16:56:20 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Aug/2023:16:56:23 +0300] "GET /crm/ HTTP/1.1" 404 104
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:00:49 +0300] "POST /crm/account/login?username=admin&password=admin HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:00:53 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:00:53 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:00:56 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:00:56 +0300] "GET /crm/contacts?company_id=2 HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:05 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:05 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 404 97
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:05 +0300] "GET /crm/customers?company_id=2&is_customer=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:05 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:10 +0300] "GET /crm/account?company_id=2&customer_id=2 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:12 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:12 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:12 +0300] "GET /crm/customers?company_id=2&is_customer=0 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:12 +0300] "GET /crm/account?company_id=2 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:13 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:13 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:16 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:16 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 404 54
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/customers?company_id=2 HTTP/1.1" 404 96
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/products?company_id=2 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/steps?company_id=2 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:18 +0300] "GET /crm/opps?company_id=2 HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:20 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:20 +0300] "GET /crm/opps/probabilities?id=17&company_id=2 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:24 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:24 +0300] "GET /crm/funnel?year=2023&company_id=2 HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:27 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:27 +0300] "GET /crm/cap?company_id=2 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:29 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:29 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:37 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:37 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:37 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:37 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:38 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:38 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:38 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:38 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:39 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:39 +0300] "GET /crm/cap/vision?company_id=2&cap_id=5 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=s&cap_id=5 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=o&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:40 +0300] "GET /crm/cap/swot?company_id=2&type=t&cap_id=5 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/Aug/2023:17:01:41 +0300] "GET /crm/cap/swot?company_id=2&type=w&cap_id=5 HTTP/1.1" 200 39
